actor,year,polity,eu,gdppc,gdppc_log,gniam,gniam_log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,1995,9,0,3686.844639,3.566654837,1.25E+11,11.09691001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROK,1995,6,0,12564.77813,4.099154824,5.33E+11,11.72672721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROM,1995,5,0,1650.052605,3.21749779,33731811808,10.52803967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAF,1995,9,0,3904.324238,3.591545877,1.66E+11,11.22010809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAL,1995,7,0,1552.130208,3.190928151,8313019721,9.919758811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAU,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,1995,-1,0,732.8363732,2.865007017,6402606468,9.806356809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEY,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIE,1995,-7,0,201.3711228,2.303997192,779168567.4,8.891631424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN,1995,-4,0,24914.8507,4.396458289,83268369643,10.92048006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKN,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLO,1995,7,0,4819.125555,3.682968241,22645679490,10.35498536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLU,1995,0,0,5008.02743,3.699666699,683681705.1,8.834853959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLV,1995,10,0,10730.45101,4.030617976,22325006002,10.34879158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRI,1995,5,0,716.8007675,2.855398462,12639704710,10.10173693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR,1995,5,0,1591.729379,3.201869232,585013520.8,8.767165904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVG,1995,0,0,2767.77031,3.442130046,312246024,8.494496917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA,1995,-7,0,1781.708861,3.25083674,1684824916,9.226554776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,1995,10,0,50115.13886,4.699968938,3.29E+11,11.5171959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJ,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAW,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAZ,1995,-1,0,176.9260254,2.247791721,4868004873,9.687351004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THI,1995,9,0,2848.62249,3.454634899,1.63E+11,11.2121876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOG,1995,-2,0,415.7778133,2.618861311,1750994689,9.243284829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRI,1995,9,0,4074.880142,3.610114839,4985219335,9.697684271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,1995,-3,0,1940.034293,3.287809407,16321879195,10.21277016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,1995,8,0,2855.036765,3.455611705,1.67E+11,11.22271647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAE,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,1995,-4,0,278.3166133,2.444539131,4712738827,9.673273372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKG,1995,10,1,23203.6289,4.365555911,1.23E+12,12.08990511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URU,1995,10,0,6014.918523,3.779229749,17836688134,10.25131422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,1995,10,0,28690.8757,4.457743804,7.73E+12,12.88817949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,1995,8,0,3500.632677,3.544146542,66747554498,10.82443536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSM,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAM,1995,6,0,438.3836362,2.641854335,3439838386,9.536538039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIM,1995,-6,0,646.8295598,2.810789859,5185030894,9.714751348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAB,1996,0,0,9079.481212,3.958061034,610539735.5,8.785713934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANG,1996,-4,0,523.3109091,2.718759788,4670581293,9.669370936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,1996,7,0,7690.157003,3.885935206,2.73E+11,11.43616265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1996,10,0,22020.0798,4.342818889,3.75E+11,11.57403127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAH,1996,-9,0,9643.309528,3.984226107,6244712617,9.795512457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,1996,0,0,8994.324063,3.953968531,2322016458,9.365865294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,1996,6,0,380.5882867,2.580455418,2130455438,9.328472455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFO,1996,-5,0,243.5269234,2.386546982,2562019872,9.408582494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,1996,0,0,4057.853603,3.608296375,821269936.9,8.914485925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNG,1996,6,0,387.3848632,2.588142647,43235500965,10.6358405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,1996,9,0,925.8491189,2.966540218,6996547109,9.844883763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOT,1996,7,0,3063.994873,3.486288034,4787804080,9.68013637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,1996,8,0,5121.905407,3.709431554,7.37E+11,11.86746749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRU,1996,0,0,16706.47133,4.22288473,4938443870,9.693590122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUI,1996,-5,0,146.5361825,2.165944873,868857678.2,8.938948643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUL,1996,8,0,1470.195347,3.167375044,13265578086,10.12272618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAM,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,1996,10,0,21296.63442,4.328310976,6.16E+11,11.78958071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAO,1996,-5,0,817.1840938,2.912319905,10387100493,10.01649433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDI,1996,-6,0,1220.121444,3.08640306,7941566173,9.899906159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEN,1996,5,0,299.6194896,2.47657006,990564722.8,8.995882857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,1996,-1,0,223.2333881,2.348759151,1458321728,9.163853347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,1996,8,0,5376.149433,3.730471332,74115752862,10.86991052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,1996,7,0,2652.103881,3.423590531,94027442794,10.97325463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS,1996,10,0,3194.112988,3.504350275,11766952324,10.07066399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRO,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,1996,-7,0,2281.97555,3.358310987,29621046660,10.4716004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,1996,10,0,15139.22656,4.180103688,9178251051,9.962759933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZR,1996,10,0,6532.905243,3.815106359,61697003318,10.79026407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,1996,-6,0,766.315697,2.884407722,2325113306,9.366444122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,1996,0,0,4225.850637,3.625914143,275768456.7,8.440544589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,1996,8,0,2276.698374,3.357305497,17266571692,10.23720612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRV,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU,1996,9,0,2142.328641,3.330886094,24339953428,10.38631974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGY,1996,-6,0,1031.488078,3.013464213,64873021592,10.81206413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU,1996,10,NA,19749.87283,4.295564304,8.37428E+12,12.92294748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIJ,1996,5,0,2672.43577,3.426907276,2090306596,9.320209991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,1996,-4,0,4948.752869,3.694495767,4562032904,9.659158413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAM,1996,-6,0,663.1688692,2.821624131,817291389.8,8.912376924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,1996,2,0,388.5328822,2.58942778,6597262046,9.819363735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,1996,2,0,237.0847195,2.374903564,265377770.9,8.423864542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRG,1996,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRN,1996,0,0,3499.527349,3.544009392,353221779.2,8.548047474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUA,1996,8,0,1487.607658,3.172488405,15179389708,10.18125431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI,1996,-1,0,503.5676762,2.702057845,3842371487,9.584599351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,1996,6,0,936.0843257,2.971314973,633202282.6,8.801542472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAI,1996,7,0,374.1693257,2.573068181,2864795447,9.457093618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,1996,-7,0,24818.30163,4.394772058,1.55E+11,11.1903317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HON,1996,6,0,872.5818384,2.940806169,5127320666,9.709890479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,1996,10,0,4525.040091,3.655622431,45012335798,10.65333155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
